date,pm10,o3,no2,so2,co,city,pm25
2016-4-9,,, 19,, 5,wroclaw, 88
2016-4-10,,, 26,, 6,wroclaw, 84
2016-4-11,,, 34,, 9,wroclaw, 91
2016-4-12,,, 31,, 8,wroclaw, 148
2016-4-13,,, 26,, 6,wroclaw, 127
2016-4-14,,, 26,, 6,wroclaw, 91
2016-4-15,,, 27,, 7,wroclaw, 89
2016-4-16,,, 19,, 6,wroclaw, 83
2016-4-17,,, 24,, 5,wroclaw, 74
2016-4-18,,, 22,, 4,wroclaw, 74
2016-4-19,,, 18,, 4,wroclaw, 74
2016-4-20,,, 28,, 5,wroclaw, 62
2016-4-21,,, 26,, 5,wroclaw, 81
2016-4-22,,, 22,, 6,wroclaw, 81
2016-4-23,,, 12,, 3,wroclaw, 97
2016-4-24,,, 22,, 4,wroclaw, 56
2016-4-25,,, 22,, 5,wroclaw, 80
2016-4-26,,, 27,, 5,wroclaw, 79
2016-4-27,,, 26,, 4,wroclaw, 80
2016-4-28,,, 28,, 5,wroclaw, 78
2016-4-29,,, 20,, 4,wroclaw, 84
2016-4-30,,, 14,, 3,wroclaw, 88
2016-5-1,,, 20,, 4,wroclaw, 78
2016-5-2,,, 16,, 4,wroclaw, 82
2016-5-3,,, 21,, 4,wroclaw, 85
2016-5-4,,, 28,, 5,wroclaw, 72
2016-5-5,,, 38,, 6,wroclaw, 74
2016-5-6,,, 26,, 4,wroclaw, 99
2016-5-7,,, 17,, 3,wroclaw, 74
2016-5-8,,, 24,, 4,wroclaw, 71
2016-5-9,,, 28,, 5,wroclaw, 73
2016-5-10,,, 30,, 5,wroclaw, 76
2016-5-11,,, 29,, 4,wroclaw, 77
2016-5-12,,, 24,, 4,wroclaw, 75
2016-5-13,,, 13,, 3,wroclaw, 72
2016-5-14,,, 9,, 2,wroclaw, 62
2016-5-15,,, 15,, 3,wroclaw, 54
2016-5-16,,, 19,, 3,wroclaw, 60
2016-5-17,,, 23,, 4,wroclaw, 60
